,course,rating,students,level,university,skills
1222,The Bilingual Brain,4.6,28.0,Mixed,University of Houston,Machine Learning
1223,"Intro to AR/VR/MR/XR: Technologies, Applications & Issues",4.7,7.1,Beginner,University of Michigan,Machine Learning
1224,Analítica de Procesos: Optimización desde los Datos,4.9,,Beginner,Universidad de los Andes,Machine Learning
1225,HR Analytics- Build an HR dashboard using Power BI,4.3,,Beginner,Coursera Project Network,Machine Learning
1226,Data Science in Stratified Healthcare and Precision Medicine,4.6,17.0,Intermediate,The University of Edinburgh,Machine Learning
1227,Particle Physics: an Introduction,4.4,67.0,Mixed,University of Geneva,Machine Learning
1228,Building AI Powered Chatbots Without Programming,4.8,39.0,Beginner,IBM,Machine Learning
1229,Generative Deep Learning with TensorFlow,4.8,7.3,Intermediate,DeepLearning.AI,Machine Learning
1230,MRI Fundamentals,4.6,15.0,Intermediate,Korea Advanced Institute of Science and Technology(KAIST),Machine Learning
1231,AI in Healthcare Capstone,4.7,3.6,Mixed,Stanford University,Machine Learning
1232,Detecting COVID-19 with Chest X-Ray using PyTorch,4.5,9.9,Intermediate,Coursera Project Network,Machine Learning
1233,Preparing for the Google Cloud Professional Data Engineer Exam,4.6,37.0,Advanced,Google Cloud,Machine Learning
1234,Getting started with TensorFlow 2,4.9,25.0,Intermediate,Imperial College London,Machine Learning
1235,Introduction to High-Performance and Parallel Computing,3.0,5.1,Beginner,University of Colorado Boulder,Machine Learning
1236,Interactive Teaching（インタラクティブ・ティーチング）,4.7,1.7,Mixed,The University of Tokyo,Machine Learning
1237,"Philosophy, Science and Religion: Science and Philosophy",4.5,43.0,Beginner,The University of Edinburgh,Machine Learning
1238,"Data Engineer, Big Data and ML on Google Cloud en Français",4.4,2.3,Intermediate,Google Cloud,Machine Learning
1239,Mind and Machine,4.4,15.0,Beginner,University of Colorado Boulder,Machine Learning
1240,Optimize ML Models and Deploy Human-in-the-Loop Pipelines,4.7,3.5,Advanced,DeepLearning.AI,Machine Learning
1241,"AI, Business & the Future of Work",4.6,,Beginner,Lund University,Machine Learning
1242,AI Fundamentals for Non-Data Scientists,4.8,,Mixed,University of Pennsylvania,Machine Learning
1243,Materials Data Sciences and Informatics,4.5,13.0,Intermediate,Georgia Institute of Technology,Machine Learning
1244,Oceanography: a key to better understand our world,4.5,19.0,Mixed,Universitat de Barcelona,Machine Learning
1245,Architecting with Google Kubernetes Engine en Español,4.8,16.0,Beginner,Google Cloud,Machine Learning
1246,Blockchain Platforms,4.6,25.0,Intermediate,University at Buffalo,Machine Learning
1247,New Technologies for Business Leaders,4.4,20.0,Intermediate,Rutgers the State University of New Jersey,Machine Learning
1248,Introduction to Image Processing,4.7,,Beginner,MathWorks,Machine Learning
1249,Prediction and Control with Function Approximation,4.8,17.0,Intermediate,University of Alberta,Machine Learning
1250,Introducción a la inteligencia artificial,4.6,22.0,Intermediate,Universidad Nacional Autónoma de México,Machine Learning
1251,Cloud Computing Foundations,4.6,6.2,Beginner,Duke University,Machine Learning
1252,Autodesk Generative Design for Manufacturing,4.8,16.0,Advanced,Autodesk,Machine Learning
1253,Alternative Mobility Narratives,4.8,1.8,Intermediate,University of Amsterdam,Machine Learning
1254,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,4.9,40.0,Mixed,Georgia Institute of Technology,Machine Learning
1255,"Introduction to Data, Signal, and Image Analysis with MATLAB",4.8,18.0,Intermediate,Vanderbilt University,Machine Learning
1256,Introduction to advanced tomography,4.6,3.0,Mixed,Technical University of Denmark (DTU),Machine Learning
1257,AI For Medical Treatment,4.7,17.0,Intermediate,DeepLearning.AI,Machine Learning
1258,Ethics in the Age of AI,4.7,7.3,Beginner,LearnQuest,Machine Learning
1259,Sports and Building Aerodynamics,4.8,12.0,Intermediate,Eindhoven University of Technology,Machine Learning
1260,Initiation à la programmation (en C++),4.8,39.0,Beginner,École Polytechnique Fédérale de Lausanne,Machine Learning
1261,Blended Language Learning: Design and Practice for Teachers,4.8,9.4,Intermediate,University of Colorado Boulder,Machine Learning
1262,Contact Center AI: Conversational Design Fundamentals,4.4,3.4,Beginner,Google Cloud,Machine Learning
1263,Introduction to Predictive Modeling,4.9,2.6,Mixed,University of Minnesota,Machine Learning
1264,Preparing for the AZ-900 Microsoft Azure Fundamentals Exam,4.8,8.7,Beginner,Microsoft,Machine Learning
1265,Equivalent Circuit Cell Model Simulation,4.7,12.0,Intermediate,University of Colorado Boulder,Machine Learning
1266,Life 101: Mental and Physical Self-Care,4.8,5.2,Beginner,"University of California, Irvine",Machine Learning
1267,Manejo del enfermo semicrítico y crítico por COVID-19,4.8,8.3,Advanced,Universitat de Barcelona,Machine Learning
1268,IA para todos,4.9,23.0,Beginner,DeepLearning.AI,Machine Learning
1269,Microsoft Azure Management Tools and Security Solutions,4.8,7.5,Beginner,Microsoft,Machine Learning
